source_code,source_id,question,choice_a,choice_b,choice_c,choice_d,choice_e,answers,explanation,explanation_url,flags,metadata
pe-01,027,A company is deploying a new two-tier web application in AWS. Where should the most frequently accessed data be stored so that the application’s response time is optimal?,AWS OpsWorks.,AWS Storage Gateway.,Amazon EBS volume.,Amazon ElastiCache.,,['d'],,,,
pe-01,028,"You want to run a questionnaire application for only one day (without interruption), which Amazon EC2 purchase option should you use?",Reserved instances.,Spot instances.,Dedicated instances.,On-demand instances.,,['d'],,,,
pe-01,029,"You are working on a project that involves creating thumbnails of millions of images. Consistent uptime is not an issue, and continuous processing is not required. Which EC2 buying option would be the most cost-effective?",Reserved Instances.,On-demand Instances.,Dedicated Instances.,Spot Instances.,,['d'],,,,
pe-01,030,Which of the following can be described as a global content delivery network (CDN) service?,AWS VPN.,AWS Direct Connect.,AWS Regions.,Amazon CloudFront.,,['d'],,,,
pe-01,031,Which of the following services allows customers to manage their agreements with AWS?,AWS Artifact.,AWS Certificate Manager.,AWS Systems Manager.,AWS Organizations.,,['a'],,,,
pe-01,032,"Which of the following are examples of AWS-Managed Services, where AWS is responsible for the operational and maintenance burdens of running the service? (Choose TWO)",Amazon VPC.,Amazon DynamoDB.,Amazon Elastic MapReduce.,AWS IAM.,Amazon Elastic Compute Cloud.,"['b', 'c']",,,,
pe-01,033,Your company has a data store application that requires access to a NoSQL database. Which AWS database offering would meet this requirement?,Amazon Aurora.,Amazon DynamoDB.,Amazon Elastic Block Store.,Amazon Redshift.,,['b'],,,,
pe-01,034,"As part of the Enterprise support plan, who is the primary point of contact for ongoing support needs?",AWS Identity and Access Management (IAM) user.,Infrastructure Event Management (IEM) engineer.,AWS Consulting Partners.,Technical Account Manager (TAM).,,['d'],,,,
pe-01,035,How can you view the distribution of AWS spending in one of your AWS accounts?,By using Amazon VPC console.,By contacting the AWS Support team.,By using AWS Cost Explorer.,By contacting the AWS Finance team.,,['c'],,,,
pe-01,036,Which of the following must an IAM user provide to interact with AWS services using the AWS Command Line Interface (AWS CLI)?,Access keys.,Secret token.,UserID.,User name and password.,,['a'],,,,
pe-01,037,"You have AWS Basic support, and you have discovered that some AWS resources are being used maliciously, and those resources could potentially compromise your data. What should you do?",Contact the AWS Customer Service team.,Contact the AWS Abuse team.,Contact the AWS Concierge team.,Contact the AWS Security team.,,['b'],,,,
pe-01,038,Select TWO examples of the AWS shared controls.,Patch Management.,IAM Management.,VPC Management.,Configuration Management.,Data Center operations.,"['a', 'd']",,,,
pe-01,039,"In order to implement best practices when dealing with a “Single Point of Failure,” you should attempt to build as much automation as possible in both detecting and reacting to failure. Which of the following AWS services would help? (Choose TWO)",ELB.,Auto Scaling.,Amazon Athen.,ECR.,Amazon EC2.,"['a', 'b']",,,,
pe-01,040,A company is planning to host an educational website on AWS. Their video courses will be streamed all around the world. Which of the following AWS services will help achieve high transfer speeds?,Amazon SNS.,Amazon Kinesis Video Streams.,AWS CloudFormation.,Amazon CloudFront.,,['d'],,,,
pe-01,041,A developer is planning to build a two-tier web application that has a MySQL database layer. Which of the following AWS database services would provide automated backups for the application?,A MySQL database installed on an EC2 instance.,Amazon Aurora.,Amazon DynamoDB.,Amazon Neptune.,,['b'],,,,
pe-01,042,What is the AWS service that enables AWS architects to manage infrastructure as code?,AWS CloudFormation.,AWS Config.,Amazon SES.,Amazon EMR.,,['a'],,,,
pe-01,043,"Under the shared responsibility model, which of the following is the responsibility of AWS?",Client-side encryption.,Configuring infrastructure devices.,Server-side encryption.,Filtering traffic with Security Groups.,,['b'],,,,
pe-01,044,What does the AWS Health Dashboard provide? (Choose TWO),Detailed troubleshooting guidance to address AWS events impacting your resources.,Health checks for Auto Scaling instances.,Recommendations for Cost Optimization.,A dashboard detailing vulnerabilities in your applications.,Personalized view of AWS service health.,"['a', 'e']",,,,
pe-01,045,You have deployed your application on multiple Amazon EC2 instances. Your customers complain that sometimes they can’t reach your application. Which AWS service allows you to monitor the performance of your EC2 instances to assist in troubleshooting these issues?,AWS Lambda.,AWS Config.,Amazon CloudWatch.,AWS CloudTrail.,,['c'],,,,
pe-01,046,"Your company is developing a critical web application in AWS, and the security of the application is a top priority. Which of the following AWS services will provide infrastructure security optimization recommendations?",AWS Shield.,AWS Management Console.,AWS Secrets Manager.,AWS Trusted Advisor.,,['d'],,,,
pe-01,047,Which of the following is not a benefit of Amazon S3? (Choose TWO),Amazon S3 provides unlimited storage for any type of data.,Amazon S3 can run any type of application or backend system.,"Amazon S3 stores any number of objects, but with object size limits.",Amazon S3 can be scaled manually to store and retrieve any amount of data from anywhere.,Amazon S3 provides 99.999999999% (11 9’s) of data durability.,"['b', 'd']",,,,
pe-01,048,"In the AWS Shared responsibility Model, which of the following are the responsibility of the customer? (Choose TWO)",Disk disposal.,Controlling physical access to compute resources.,Patching the Network infrastructure.,Setting password complexity rules.,Configuring network access rules.,"['d', 'e']",,,,
pe-01,049,What does AWS provide to deploy popular technologies such as IBM MQ on AWS with the least amount of effort and time?,Amazon Aurora.,Amazon CloudWatch.,AWS Quick Start reference deployments.,AWS OpsWorks.,,['c'],,,,
pe-01,050,An organization has decided to purchase an Amazon EC2 Reserved Instance (RI) for three years in order to reduce costs. It is possible that the application workloads could change during the reservation period. What is the EC2 Reserved Instance (RI) type that will allow the company to exchange the purchased reserved instance for another reserved instance with higher computing power if they need to?,Elastic RI.,Premium RI.,Standard RI.,Convertible RI.,,['d'],,,,
pe-02,001,A global company with a large number of AWS accounts is seeking a way in which they can centrally manage billing and security policies across all accounts. Which AWS Service will assist them in meeting these goals?,AWS Organizations.,AWS Trusted Advisor.,IAM User Groups.,AWS Config.,,['a'],,,,
pe-02,002,Which service provides object-level storage in AWS?,Amazon EBS.,Amazon Instance Store.,Amazon EFS.,Amazon S3.,,['d'],,,,
pe-02,003,A company is concerned that they are spending money on underutilized compute resources in AWS. Which AWS feature will help ensure that their applications are automatically adding/removing EC2 compute capacity to closely match the required demand?,AWS Elastic Load Balancer.,AWS Budgets.,AWS Auto Scaling.,AWS Cost Explorer.,,['c'],,,,
pe-02,004,Which S3 storage class is best for data with unpredictable access patterns?,Amazon S3 Intelligent-Tiering.,Amazon S3 Glacier Flexible Retrieval.,Amazon S3 Standard.,Amazon S3 Standard-Infrequent Access.,,['a'],,,,
pe-02,005,What is the AWS database service that allows you to upload data structured in key-value format?,Amazon DynamoDB.,Amazon Aurora.,Amazon Redshift.,Amazon RDS.,,['a'],,,,
pe-02,006,Which of the following is NOT correct regarding Amazon EC2 On-demand instances?,You have to pay a start-up fee when launching a new instance for the first time.,The on-demand instances follow the AWS pay-as-you-go pricing model.,"With on-demand instances, no longer-term commitments or upfront payments are needed.","When using on-demand Linux instances, you are charged per second based on an hourly rate.",,['a'],,,,
pe-02,007,A company has moved to AWS recently. Which of the following AWS Services will help ensure that they have the proper security settings? (Choose TWO),AWS Trusted Advisor.,Amazon Inspector.,Amazon SNS.,Amazon CloudWatch.,Concierge Support Team.,"['a', 'b']",,,,
pe-02,008,What is the AWS feature that provides an additional level of security above the default authentication mechanism of usernames and passwords?,Encrypted keys.,Email verification.,AWS KMS.,AWS MFA.,,['d'],,,,
pe-02,009,"A company is introducing a new product to their customers, and is expecting a surge in traffic to their web application. As part of their Enterprise Support plan, which of the following provides the company with architectural and scaling guidance?",AWS Knowledge Center.,AWS Health Dashboard.,Infrastructure Event Management.,AWS Support Concierge Service.,,['c'],,,,
pe-02,010,"You work as an on-premises MySQL DBA. The work of database configuration, backups, patching, and DR can be time-consuming and repetitive. Your company has decided to migrate to the AWS Cloud. Which of the following can help save time on database maintenance so you can focus on data architecture and performance?",Amazon RDS.,Amazon Redshift.,Amazon DynamoDB.,Amazon CloudWatch.,,['a'],,,,
pe-02,011,Which of the below is a best-practice when designing solutions on AWS?,"Invest heavily in architecting your environment, as it is not easy to change your design later.",Use AWS reservations to reduce costs when testing your production environment.,Automate wherever possible to make architectural (© ) experimentation easier.,Provision a large compute capacity to handle any spikes in load,,['c'],,,,
pe-02,012,"According to the AWS Acceptable Use Policy, which of the following statements is true regarding penetration testing of EC2 instances?",Penetration testing is not allowed in AWS.,Penetration testing is performed automatically by AWS to determine vulnerabilities in your AWS infrastructure.,Penetration testing can be performed by the customer on their own instances without prior authorization from AWS.,The AWS customers are only allowed to perform penetration testing on services managed by AWS.,,['c'],,,,
pe-02,013,Which service is used to ensure that messages between software components are not lost if one or more components fail?,Amazon SQS.,Amazon SES.,AWS Direct Connect.,Amazon Connect.,,['a'],,,,
pe-02,014,The principle “design for failure and nothing will fail” is very important when designing your AWS Cloud architecture. Which of the following would help adhere to this principle? (Choose TWO),Multi-factor authentication.,Availability Zones.,Elastic Load Balancing.,Penetration testing.,Vertical Scaling.,"['b', 'c']",,,,
pe-02,015,What is the AWS service that provides a virtual network dedicated to your AWS account?,AWS VPN.,AWS Subnets.,AWS Dedicated Hosts.,Amazon VPC.,,['d'],,,,
pe-02,016,"According to the AWS Shared responsibility model, which of the following are the responsibility of the customer? (Choose TWO)",Managing environmental events of AWS data centers.,Protecting the confidentiality of data in transit in Amazon S3.,Controlling physical access to AWS Regions.,Ensuring that the underlying EC2 host is configured properly.,Patching applications installed on Amazon EC2.,"['b', 'e']",,,,
pe-02,017,Which of the following AWS services can be used as a compute resource? (Choose TWO),Amazon VPC.,Amazon CloudWatch.,Amazon S3.,Amazon EC2.,AWS Lambda.,"['d', 'e']",,,,
pe-02,018,Your company is designing a new application that will store and retrieve photos and videos. Which of the following services should you recommend as the underlying storage mechanism?,Amazon EBS.,Amazon SQS.,Amazon S3.,Amazon Instance store.,,['c'],,,,
pe-02,019,Which of the following is equivalent to a user name and password and is used to authenticate your programmatic access to AWS services and APIs?,Instance Password.,Key pairs.,Access Keys.,MFA.,,['c'],,,,
pe-02,020,What does Amazon ElastiCache provide?,In-memory caching for read-heavy applications.,An Ehcache compatible in-memory data store.,An online software store that allows Customers to launch pre-configured software with just few clicks.,A domain name system in the cloud.,,['a'],,,,
pe-02,021,What is the AWS service that enables you to manage all of your AWS accounts from a single master account?,AWS WAF.,AWS Trusted Advisor.,AWS Organizations.,Amazon Config.,,['c'],,,,
pe-02,022,Which of the following EC2 instance purchasing options supports the Bring Your Own License (BYOL) model for almost every BYOL scenario?,Dedicated Instances.,Dedicated Hosts.,On-demand Instances.,Reserved Instances.,,['b'],,,,
pe-02,023,Which of the following is one of the benefits of moving infrastructure from an on-premises data center to AWS?,Free support for all enterprise customers.,Automatic data protection.,Reduced Capital Expenditure (CapEx).,AWS holds responsibility for managing customer applications.,,['c'],,,,
pe-02,024,Which of the following are important design principles you should adopt when designing systems on AWS? (Choose TWO),Always use Global Services in your architecture rather than Regional Services.,Always choose to pay as you go.,Treat servers as fixed resources.,Automate wherever possible.,Remove single points of failure.,"['d', 'e']",,,,
pe-02,025,"Which AWS Service can be used to establish a dedicated, private network connection between AWS and your datacenter?",AWS Direct Connect.,Amazon CloudFront.,AWS Snowball.,Amazon Route 53.,,['a'],,,,
pe-02,026,You are working on two projects that require completely different network configurations. Which AWS service or feature will allow you to isolate resources and network configurations?,Internet gateways.,Virtual Private Cloud.,Security Groups.,Amazon CloudFront.,,['b'],,,,
pe-02,027,Which of the following services can help protect your web applications from SQL injection and other vulnerabilities in your application code?,Amazon Cognito.,AWS IAM.,Amazon Aurora.,AWS WAF.,,['d'],,,,
pe-02,028,An organization needs to analyze and process a large number of data sets. Which AWS service should they use?,Amazon EMR.,Amazon MQ.,Amazon SNS.,Amazon SQS.,,['a'],,,,
pe-02,029,"Based on the AWS Shared Responsibility Model, which of the following are the sole responsibility of AWS? (Choose TWO)",Monitoring network performance.,Installing software on EC2 instances.,Creating hypervisors.,Configuring Access Control Lists (ACLs).,Hardware maintenance.,"['c', 'e']",,,,
pe-02,030,What is the AWS service that provides you the highest level of control over the underlying virtual infrastructure?,Amazon Redshift.,Amazon DynamoDB.,Amazon EC2.,Amazon RDS.,,['c'],,,,
pe-02,031,What are the default security credentials that are required to access the AWS management console for an IAM user account?,MFA.,Security tokens.,A user name and password.,Access keys.,,['c'],,,,
pe-02,032,"In your on-premises environment, you can create as many virtual servers as you need from a single template. What can you use to perform the same in AWS?",IAM.,An internet gateway.,EBS Snapshot.,AMI.,,['d'],,,,
pe-02,033,What are two advantages of using Cloud Computing over using traditional data centers? (Choose TWO),Reserved Compute capacity.,Eliminating Single Points of Failure (SPOFs).,Distributed infrastructure.,Virtualized compute resources.,Dedicated hosting.,"['b', 'c']",,,,
pe-02,034,Which of the following aspects of security are managed by AWS? (Choose TWO),Encryption of EBS volumes.,VPC security.,Access permissions.,Hardware patching.,Securing global physical infrastructure.,"['d', 'e']",,,,
pe-02,035,Which statement best describes the operational excellence pillar of the AWS Well-Architected Framework?,The ability of a system to recover gracefully from failure.,The efficient use of computing resources to meet requirements.,The ability to monitor systems and improve supporting processes and procedures.,The ability to manage datacenter operations more efficiently.,,['c'],,,,
pe-02,036,AWS has created a large number of Edge Locations as part of its Global Infrastructure. Which of the following is NOT a benefit of using Edge Locations?,Edge locations are used by CloudFront to cache the most recent responses.,Edge locations are used by CloudFront to improve your end users’ experience when uploading files.,Edge locations are used by CloudFront to distribute traffic across multiple instances to reduce latency.,Edge locations are used by CloudFront to distribute content to global users with low latency.,,['c'],,,,
pe-02,037,What are the change management tools that helps AWS customers audit and monitor all resource changes in their AWS environment? (Choose TWO),AWS CloudTrail.,Amazon Comprehend.,AWS Transit Gateway.,AWS X-Ray.,AWS Config.,"['a', 'e']",,,,
pe-02,038,Which of the following services allows you to run containerized applications on a cluster of EC2 instances?,Amazon ECS.,AWS Data Pipeline.,AWS Cloud9.,AWS Personal Health Dashboard.,,['a'],,,,
pe-02,039,Which of the following services will help businesses ensure compliance in AWS?,CloudFront.,CloudEndure Migration.,CloudWatch.,CloudTrail.,,['d'],,,,
pe-02,040,Which of the following procedures will help reduce your Amazon S3 costs?,Use the Import/Export feature to move old files automatically to Amazon Glacier.,Use the right combination of storage classes based on different use cases.,Pick the right Availability Zone for your S3 bucket.,Move all the data stored in S3 standard to EBS.,,['b'],,,,
pe-02,041,What are the AWS services/features that can help you maintain a highly available and fault-tolerant architecture in AWS? (Choose TWO),AWS Direct Connect.,Amazon EC2 Auto Scaling.,Elastic Load Balancer.,CloudFormation.,Network ACLs.,"['b', 'c']",,,,
pe-02,042,Which of the following activities may help reduce your AWS monthly costs?,Enabling Amazon EC2 Auto Scaling for all of your workloads.,Using the AWS Network Load Balancer (NLB) to load balance the incoming HTTP requests.,Removing all of your Cost Allocation Tags.,Deploying your AWS resources across multiple Availability Zones.,,['a'],,,,
pe-02,043,What is the AWS service/feature that takes advantage of Amazon CloudFront’s globally distributed edge locations to transfer files to S3 with higher upload speeds?,S3 Transfer Acceleration.,AWS WAF.,AWS Snowmobile.,AWS Snowball.,,['a'],,,,
pe-02,044,Which of the following AWS security features is associated with an EC2 instance and functions to filter incoming traffic requests?,AWS X-Ray.,Network ACL.,Security Groups.,VPC Flow logs.,,['c'],,,,
pe-02,045,Which AWS services can be used to improve the performance of a global application and reduce latency for its users? (Choose TWO),AWS KMS.,AWS Global accelerator.,AWS Direct Connect.,AWS Glue.,Amazon CloudFront.,"['b', 'e']",,,,
pe-02,046,Using Amazon RDS falls under the shared responsibility model. Which of the following are customer responsibilities? (Choose TWO),Building the relational database schema.,Performing backups.,Managing the database settings.,Patching the database software.,Installing the database software.,"['a', 'c']",,,,
pe-02,047,"A company has a large amount of structured data stored in their on-premises data center. They are planning to migrate all the data to AWS, what is the most appropriate AWS database option?",Amazon DynamoDB.,Amazon SNS.,Amazon RDS.,Amazon ElastiCache.,,['c'],,,,
pe-02,048,A company has created a solution that helps AWS customers improve their architectures on AWS. Which AWS program may support this company?,APN Consulting Partners.,AWS TAM.,APN Technology Partners.,AWS Professional Services.,,['a'],,,,
pe-02,049,What is the AWS serverless service that allows you to run your applications without any administrative burden?,Amazon LightSail.,AWS Lambda.,Amazon RDS instances.,Amazon EC2 instances.,,['b'],,,,
pe-02,050,"Jessica is managing an e-commerce web application in AWS. The application is hosted on six EC2 instances. One day, three of the instances crashed; but none of her customers were affected. What has Jessica done correctly in this scenario?",She has properly built an elastic system.,She has properly built a fault tolerant system.,She has properly built an encrypted system.,She has properly built a scalable system.,,['b'],,,,
pe-03,001,Where can you store files in AWS? (Choose TWO),Amazon EFS.,Amazon SNS.,Amazon EBS.,Amazon ECS.,Amazon EMR.,"['a', 'c']",,,,
pe-03,002,Which AWS service can be used to store and reliably deliver messages across distributed systems?,Amazon Simple Queue Service.,AWS Storage Gateway.,Amazon Simple Email Service.,Amazon Simple Storage Service.,,['a'],,,,
pe-03,003,Which of the following describes the payment model that AWS makes available for customers that can commit to using Amazon EC2 over a one or 3-year term to reduce their total computing costs?,Pay less as AWS grows.,Pay as you go.,Pay less by using more.,Save when you reserve.,,['d'],,,,
pe-03,004,A company is migrating its on-premises database to Amazon RDS. What should the company do to ensure Amazon RDS costs are kept to a minimum?,Right-size before and after migration.,Use a Multi-Region Active-Passive architecture.,Combine On-demand Capacity Reservations with Saving Plans.,Use a Multi-Region Active-Active architecture.,,['a'],,,,
pe-03,005,What is the primary storage service used by Amazon RDS database instances?,Amazon Glacier.,Amazon EBS.,Amazon EFS.,Amazon S3.,,['b'],,,,
pe-03,006,A company is developing a new application using a microservices framework. The new application is having performance and latency issues. Which AWS Service should be used to troubleshoot these issues?,AWS CodePipeline.,AWS X-Ray.,Amazon Inspector.,AWS CloudTrail.,,['b'],,,,
pe-03,007,Which of the following AWS services is designed with native Multi-AZ fault tolerance in mind? (Choose TWO),Amazon Redshift.,AWS Snowball.,Amazon Simple Storage Service.,Amazon EBS.,Amazon DynamoDB.,"['c', 'e']",,,,
pe-03,008,What are the Amazon RDS features that can be used to improve the availability of your database? (Choose TWO),AWS Regions.,Multi-AZ Deployment.,Automatic patching.,Read Replicas.,Edge Locations.,"['b', 'd']",,,,
pe-03,009,"Sarah has deployed an application in the Northern California (us-west-1) region. After examining the application’s traffic, she notices that about 30% of the traffic is coming from Asia. What can she do to reduce latency for the users in Asia?",Replicate the current resources across multiple Availability Zones within the same region.,Migrate the application to a hosting provider in Asia.,Recreate the website content.,"Create a CDN using CloudFront, so that content is cached at Edge Locations close to and in Asia.",,['d'],,,,
pe-03,010,An organization runs many systems and uses many AWS products. Which of the following services enables them to control how each developer interacts with these products?,AWS Identity and Access Management.,Amazon RDS.,Network Access Control Lists.,Amazon EMR.,,['a'],,,,
pe-03,011,Using Amazon EC2 falls under which of the following cloud computing models?,Iaas & SaaS.,IaaS.,SaaS.,PaaS.,,['b'],,,,
pe-03,012,Which of the below is a best-practice when building applications on AWS?,Strengthen physical security by applying the principle of least privilege.,Ensure that the application runs on hardware from trusted vendors.,Use IAM policies to maintain performance.,Decouple the components of the application so that they run independently.,,['d'],,,,
pe-03,013,Your company is designing a new application that will store and retrieve photos and videos. Which of the following services should you recommend as the underlying storage mechanism?,Amazon EBS.,Amazon SQS.,Amazon Instance store.,Amazon S3.,,['d'],,,,
pe-03,014,Amazon Glacier is an Amazon S3 storage class that is suitable for storing [...] & [...]. (Choose TWO),Active archives.,Dynamic websites’ assets.,Long-term analytic data.,Active databases.,Cached data.,"['a', 'c']",,,,
pe-03,015,What does Amazon Elastic Beanstalk provide?,A PaaS solution to automate application deployment.,A compute engine for Amazon ECS.,A scalable file storage solution for use with AWS and on-premises servers.,A NoSQL database service.,,['a'],,,,
pe-03,016,What is the AWS service that performs automated network assessments of Amazon EC2 instances to check for vulnerabilities?,Amazon Kinesis.,Security groups.,Amazon Inspector.,AWS Network Access Control Lists.,,['c'],,,,
pe-03,017,"Under the Shared Responsibility Model, which of the following controls do customers fully inherit from AWS? (Choose TWO)",Patch management controls.,Database controls.,Awareness & Training.,Environmental controls.,Physical controls.,"['d', 'e']",,,,
pe-03,018,A company needs to host a database in Amazon RDS for at least three years. Which of the following options would be the most cost-effective solution?,Reserved instances     - No Upfront.,Reserved instances     - Partial Upfront.,On-Demand instances.,Spot Instances.,,['b'],,,,
pe-03,019,"Your application has recently experienced significant global growth, and international users are complaining of high latency. What is the AWS characteristic that can help improve your international users’ experience?",Elasticity.,Global reach.,Data durability.,High availability.,,['b'],,,,
pe-03,020,Savings Plans are available for which of the following AWS compute services? (Choose TWO),AWS Batch.,AWS Outposts.,Amazon Lightsail.,Amazon EC2.,AWS Lambda.,"['d', 'e']",,,,
pe-03,021,A company has business critical workloads hosted on AWS and they are unwilling to accept any downtime. Which of the following is a recommended best practice to protect their workloads in the event of an unexpected natural disaster?,Replicate data across multiple Edge Locations worldwide and use Amazon CloudFront to perform automatic failover in the event of an outage.,Deploy AWS resources across multiple Availability Zones within the same AWS Region.,Create point-in-time backups in another subnet and recover this data when a disaster occurs.,Deploy AWS resources to another AWS Region and implement an Active-Active disaster recovery strategy.,,['d'],,,,
